sample_id	species	longitude	latitude	altitude
110	Zea mays ssp. mays	-109.68	29.80894444	626
132	Zea mays ssp. mays	-92.68894972	16.1194325	552
118	Zea mays ssp. mays	-107.5618889	25.40125	226
144	Zea mays ssp. mays	-93.00194444	16.36402778	654
133	Zea mays ssp. mays	-100.2275	18.66027778	1390
121	Zea mays ssp. mays	-108.9255278	28.41063889	1570
111	Zea mays ssp. mays	-99.25505556	24.12780556	231
137	Zea mays ssp. mays	-92.69643389	16.12061694	551
109	Zea mays ssp. mays	-108.8240833	27.17294444	461
146	Zea mays ssp. mays	-97.98033333	19.94305556	2131
164	Zea mays ssp. mays	-104.4286944	21.10166667	1153
157	Zea mays ssp. mays	-97.45566667	20.12658333	126
171	Zea mays ssp. mays	-98.31555556	19.4875	2584
149	Zea mays ssp. mays	-109.6742778	29.80538889	596
165	Zea mays ssp. mays	-92.216925	14.90176111	191
159	Zea mays ssp. mays	-93.45688889	16.75177778	779
172	Zea mays ssp. mays	-98.37555556	20.35472222	2081
150	Zea mays ssp. mays	-92.02008333	16.24877778	1550
166	Zea mays ssp. mays	-92.54222222	16.63975	2299
160	Zea mays ssp. mays	-98.77233333	19.05555556	2600
173	Zea mays ssp. mays	-106.4261111	23.84611111	258
152	Zea mays ssp. mays	-98.68102778	17.88563889	1493
167	Zea mays ssp. mays	-92.18767778	15.29614444	1220
161	Zea mays ssp. mays	-98.04722222	19.33861111	2620
174	Zea mays ssp. mays	-105.8308333	23.4575	1526
154	Zea mays ssp. mays	-98.78166667	19.09055556	2400
169	Zea mays ssp. mays	-104.4399794	21.07805	1057
162	Zea mays ssp. mays	-100.9355556	20.78722222	2071
176	Zea mays ssp. mays	-100.1083333	19.04388889	1779
156	Zea mays ssp. mays	-106.6555	28.51872222	2019
170	Zea mays ssp. mays	-99.92944444	19.70611111	2535
163	Zea mays ssp. mays	-108.7097222	29.84027778	1880
177	Zea mays ssp. mays	-92.19657222	14.82029722	100
178	Zea mays ssp. mays	-92.46687222	17.25071111	899
192	Zea mays ssp. mays	-98.64722222	19.75944444	2479
185	Zea mays ssp. mays	-97.97941667	19.95577778	2104
201	Zea mays ssp. mays	-106.0163611	26.94213889	1775
179	Zea mays ssp. mays	-99.95611111	19.65111111	2663
193	Zea mays ssp. mays	-92.46687222	17.25071111	899
186	Zea mays ssp. mays	-91.97488889	16.23313889	1550
202	Zea mays ssp. mays	-105.2216111	21.94602778	20
180	Zea mays ssp. mays	-98.27472222	19.99861111	2297
195	Zea mays ssp. mays	-105.1493611	20.87416667	54
187	Zea mays ssp. mays	-99.79111111	19.56944444	2538
181	Zea mays ssp. mays	-98.06944444	19.39388889	2469
197	Zea mays ssp. mays	-110.2101111	29.79355556	598
188	Zea mays ssp. mays	-100.1675028	19.35202222	2452
182	Zea mays ssp. mays	-98.65641667	17.74525	1402
198	Zea mays ssp. mays	-99.02108333	24.29011111	199
190	Zea mays ssp. mays	-100.0255556	19.49083333	2576
200	Zea mays ssp. mays	-92.2045	14.87376389	159
183	Zea mays ssp. mays	-91.93747222	16.19525	1550
191	Zea mays ssp. mays	-98.80666667	19.10861111	2560
96	Zea mays ssp. parviglumis	-97.04883	16.32283	1135
203	Zea mays ssp. mexicana	-99.62705556	19.40747222	2581
911	Zea mays ssp. parviglumis	-99.84108	18.34983	1649
9107	Zea mays ssp. mexicana	-99.62705556	19.40747222	2581
